Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.005    0.000    0.005    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.005    0.005 c_parser.py:9(<module>)
        3    0.003    0.001    0.005    0.002 tabulate.py:834(<listcomp>)
        1    0.000    0.000    0.005    0.005 typeddict.py:1(<module>)
        2    0.000    0.000    0.005    0.003 definitions.py:63(remove_definitions)
        2    0.003    0.002    0.005    0.003 definitions.py:64(<listcomp>)
        1    0.000    0.000    0.005    0.005 rangeobj.py:1(<module>)
        1    0.002    0.002    0.005    0.005 fill.py:8(fill_empty_addresses)
      346    0.001    0.000    0.005    0.000 __init__.py:2484(parse)
     1500    0.002    0.000    0.005    0.000 abstract.py:48(_intern)
        1    0.000    0.000    0.005    0.005 randomdecl.py:1(<module>)
    41868    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
       26    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
        2    0.000    0.000    0.005    0.002 loading.py:17(remove_empty_lines)
        2    0.003    0.002    0.005    0.002 loading.py:18(<listcomp>)
        4    0.000    0.000    0.004    0.001 caching.py:491(load)
      768    0.000    0.000    0.004    0.000 ffi.py:73(__exit__)
        7    0.004    0.001    0.004    0.001 tabulate.py:911(<listcomp>)
     1236    0.003    0.000    0.004    0.000 functions.py:245(__init__)
     3432    0.004    0.000    0.004    0.000 error.py:4(__init__)
        1    0.000    0.000    0.004    0.004 lapack.py:1(<module>)
      116    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
     9841    0.003    0.000    0.004    0.000 solve_sections.py:30(find_key_by_value)
        1    0.000    0.000    0.004    0.004 basic.py:7(<module>)
    11970    0.003    0.000    0.004    0.000 utils.py:407(sublist_iterator)
     8190    0.003    0.000    0.004    0.000 macros.py:76(<listcomp>)
       43    0.000    0.000    0.004    0.000 decorators.py:196(wrapper)
      768    0.000    0.000    0.004    0.000 ffi.py:67(__enter__)
     1368    0.001    0.000    0.004    0.000 base.py:375(insert_func_defn)
      768    0.000    0.000    0.004    0.000 base.py:1253(exit_fn)
        1    0.000    0.000    0.004    0.004 listobj.py:1(<module>)
       20    0.000    0.000    0.004    0.000 re.py:250(compile)
        3    0.000    0.000    0.004    0.001 re.py:198(search)
       25    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
       38    0.000    0.000    0.004    0.000 decorators.py:253(njit)
       38    0.000    0.000    0.004    0.000 decorators.py:26(jit)
       43    0.000    0.000    0.004    0.000 dispatcher.py:821(__init__)
     1544    0.001    0.000    0.004    0.000 event.py:193(broadcast)
      248    0.000    0.000    0.003    0.000 module.py:213(__next__)
     9840    0.003    0.000    0.003    0.000 add_comments.py:31(<lambda>)
      772    0.001    0.000    0.003    0.000 event.py:388(end_event)
     9840    0.003    0.000    0.003    0.000 base.py:12(__getitem__)
        1    0.000    0.000    0.003    0.003 tabulate.py:786(_is_multiline)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        2    0.000    0.000    0.003    0.002 npdatetime.py:1(<module>)
      431    0.001    0.000    0.003    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.003    0.003 dictobject.py:1(<module>)
        2    0.003    0.001    0.003    0.002 solve_sections.py:10(gather_instructions_by_section)
      104    0.000    0.000    0.003    0.000 overload_glue.py:128(_build)
      768    0.000    0.000    0.003    0.000 base.py:1250(enter_fn)
        1    0.000    0.000    0.003    0.003 arrayobj.py:1(<module>)
    19700    0.003    0.000    0.003    0.000 {built-in method builtins.all}
        4    0.003    0.001    0.003    0.001 tabulate.py:828(<listcomp>)
       69    0.000    0.000    0.003    0.000 extending.py:394(intrinsic)
       69    0.000    0.000    0.003    0.000 extending.py:431(_intrinsic)
